"a, an","indefinite, article","а,",
frightening,Adjective,пугающий,The haunted house was filled with frightening sights and sounds.
frog,Noun,лягушка,We spotted a green frog by the pond.
from,prep,из,She received a postcard from her friend who is traveling abroad.
front,Noun Adjective,фронт,The soldiers marched forward to the front line.
frozen,Adjective,замороженный,The lake was frozen in winter.
fruit,Noun,фрукты,She enjoys eating fresh fruits every day.
fry,Verb,жарить,I like to fry eggs for breakfast.
fuel,Noun Verb,топливо,The car needs more fuel to continue the journey.
full,Adjective,полный,The glass is full of water.
fully,Adverb,в полной мере,He fully understands the importance of the project.
fun,Noun Adjective,весело,We had a lot of fun at the amusement park.
function,Noun Verb,функция,The main function of this device is to measure temperature.
fund,Noun Verb,фонд,They donated money to a charity fund.
fundamental,Adjective,фундаментальный,Learning basic math skills is fundamental to success in life.
funding,Noun,финансирование,The company secured funding for its new research project.
funny,Adjective,веселая,The comedian told funny jokes that made everyone laugh.
fur,Noun,мех,She loves wearing coats made of fur.
furniture,Noun,мебель,We need to buy some new furniture for the living room.
further,"Adjective, Adverb",дальше,We need to investigate further to find the cause of the problem.
furthermore,Adverb,более того,"The book is well-written, and furthermore, it has a captivating plot."
future,Noun Adjective,будущее,We must plan for the future and work towards our goals.
gain,Verb Noun,усиление,She worked hard to gain the trust of her colleagues.
gallery,Noun,галерея,The art gallery features a collection of contemporary paintings.
game,Noun,игра,Let's play a game of chess.
gang,Noun,банда,The police arrested several members of the gang.
gap,Noun,разрыв,There is a gap between the two buildings.
garage,Noun,гараж,He parked his car in the garage.
garden,Noun,сад,"She enjoys spending time in her garden, planting flowers."
gas,Noun,газ,The stove is powered by natural gas.
gate,Noun,Ворота,Close the gate behind you when you leave.
gather,Verb,собирать,We will gather at the park for a picnic.
general,Adjective,Общее,He gave a general overview of the topic during his presentation.
generally,Adverb,в общем-то,"Generally, people tend to be more active in the morning."
generate,Verb,генерировать,The wind turbines generate electricity for the entire town.
generation,Noun,поколение,The younger generation is more technologically savvy.
generous,Adjective,великодушный,He is a generous person who always helps those in need.
genre,Noun,жанр,She enjoys reading books of the fantasy genre.
gentle,Adjective,нежный,The baby's skin is soft and gentle.
gentleman,Noun,джентльмен,He opened the door for her like a true gentleman.
geography,Noun,география,The students learned about different countries in geography class.
get,Verb,получить,"Can you get me a glass of water, please?"
ghost,Noun,призрак,The old mansion is rumored to be haunted by a ghost.
giant,"Adjective, Noun",гигант,The giant statue was an impressive sight.
gift,Noun,подарок,She received a beautiful gift for her birthday.
girl,Noun,девушка,The little girl is playing in the park.
girlfriend,Noun,Подруга,He introduced his girlfriend to his parents.
give,Verb,дайте,Can you give me a hand with these boxes?
glad,Adjective,довольный,I am glad to hear that you passed your exam.
glass,Noun,стекло,He poured the juice into a glass.
global,Adjective,Глобальный,The company operates on a global scale.
glove,Noun,перчатка,She put on her gloves to keep her hands warm.
go,Verb Noun,идти,They decided to go for a walk in the park.
goal,Noun,Цель,Her goal is to become a successful entrepreneur.
God,Noun,Бог,People believe in God for comfort and guidance.
gold,Noun Adjective,золото,She received a gold medal for her outstanding performance.
golf,Noun,гольф,He enjoys playing golf on the weekends.
good,"Adjective, Noun",хорошо,She is a good student and always gets excellent grades.
goodbye,exclam. Noun,Прощай,Goodbye! Have a safe trip.
goods,Noun,товар,"The store sells a variety of goods, including clothing and electronics."
govern,Verb,править,The elected officials govern the country.
government,Noun,правительство,The government announced new measures to improve the economy.
grab,Verb,грейфер,He grabbed his backpack and rushed out the door.
